20	100	5	20	20
0	600	600	2.67235824497061	346	0
1	400	100	5.33523373554239	370	0
2	700	800	0.116229383329036	314	0
3	700	200	6.42578164880433	342	0
4	500	500	2.60428613173044	447	0
5	400	600	0.42964621932695	394	0
6	400	400	6.30478416397459	498	0
7	700	600	5.72638043469115	467	0
8	500	500	8.15356883600055	391	0
9	400	100	2.47771612949563	330	0
10	200	100	1.65099784343084	450	0
11	300	700	4.9614715413011	378	0
12	200	700	3.25476412812935	463	0
13	700	400	9.60647854004357	445	0
14	200	200	0.744906808596527	467	0
15	100	600	1.10431741508856	444	0
16	100	500	3.11950712610013	382	0
17	600	400	5.06417017665886	338	0
18	400	400	2.87111983768228	323	0
19	800	300	6.19881368065198	435	0
0	1	4
1	4	1
2	8	5
3	6	2
4	7	4
5	6	3
6	2	1
7	2	4
8	4	6
9	1	7
10	4	1
11	7	7
12	5	3
13	7	3
14	3	4
15	8	7
16	5	2
17	1	5
18	3	6
19	2	5
20	7	3
21	5	2
22	7	8
23	3	4
24	3	6
25	8	3
26	2	7
27	2	8
28	6	5
29	4	5
30	6	3
31	7	3
32	5	7
33	6	8
34	1	5
35	1	6
36	4	5
37	1	2
38	5	6
39	1	6
40	8	4
41	1	6
42	5	5
43	6	6
44	8	2
45	8	7
46	2	6
47	8	4
48	4	2
49	6	8
50	2	4
51	4	6
52	5	2
53	8	6
54	6	1
55	3	1
56	4	7
57	5	2
58	3	2
59	7	8
60	1	1
61	8	7
62	6	3
63	5	7
64	6	6
65	6	4
66	8	1
67	4	5
68	1	3
69	1	3
70	6	8
71	8	8
72	7	8
73	3	3
74	1	6
75	1	2
76	3	6
77	8	2
78	4	5
79	1	3
80	6	2
81	1	1
82	3	8
83	1	3
84	4	1
85	2	8
86	2	5
87	2	1
88	1	1
89	1	7
90	8	2
91	6	8
92	5	4
93	2	3
94	2	3
95	2	5
96	3	6
97	6	5
98	8	8
99	5	8
0	0	0
1	14	6
77	8	2
76	3	6
38	5	6
19	2	5
47	8	4
7	2	4
90	8	2
87	2	1
51	4	6
100	7	2
45	8	7
39	1	6
18	3	6
94	2	3
100	7	2
101	6	5
102	6	2
103	3	6
104	4	3
105	1	1
3	6	14
67	4	5
8	4	6
61	8	7
79	1	3
109	8	3
43	6	6
106	7	2
107	4	5
108	7	6
109	8	3
110	1	4
111	7	1
112	5	3
113	6	3
114	7	8
115	8	4
116	4	1
117	4	1
118	3	7
119	7	6
12	13	7
49	6	8
107	4	5
24	3	6
4	7	4
106	7	2
30	6	3
44	8	2
5	6	3
42	5	5
2	8	5
85	2	8
101	6	5
116	4	1
120	6	2
121	7	8
122	4	3
123	6	5
124	3	1
125	4	5
126	2	6
17	14	6
22	7	8
35	1	6
115	8	4
81	1	1
17	1	5
70	6	8
118	3	7
59	7	8
46	2	6
93	2	3
71	8	8
10	4	1
127	2	5
132	6	1
127	2	5
128	5	2
129	5	7
130	7	3
131	3	8
132	6	1
19	9	11
40	8	4
112	5	3
120	6	2
135	5	1
65	6	4
3	6	2
131	3	8
34	1	5
80	6	2
133	4	8
134	4	8
135	5	1
136	3	8
137	5	4
138	4	1
139	2	3
140	8	2
141	4	3
142	7	8
143	1	1
